transaction_id,user_id,account_age_hours,amount,country,billing_country,ip_country,device_id,card_hash,payment_method,currency,timestamp,card_attempts_last_1h,transactions_last_24h,email_age_days,is_vpn,has_chargeback_history,geo_mismatch,ip_billing_mismatch,new_account,high_amount,high_velocity,fresh_email,risk_score,decision,is_fraud
1,457,410,1113.62,IT,IT,DE,device_3017,card_840,wallet,GBP,2025-06-12 09:59:00,9,3,302,1,0,0,1,0,1,1,0,55,3ds_required,1
2,896,3812,760.51,ES,BR,IT,device_2933,card_4465,paypal,EUR,2025-03-23 18:37:00,10,9,3,0,1,1,1,0,0,1,1,85,block,1
3,637,3528,1436.03,GB,FR,FR,device_1557,card_793,paypal,USD,2025-04-20 21:43:00,5,2,235,0,1,1,0,0,1,0,0,50,3ds_required,1
4,1201,5926,868.14,FR,ES,IT,device_3167,card_2371,card,EUR,2025-06-07 17:43:00,2,13,142,1,1,1,1,0,0,0,0,65,3ds_required,1
5,1456,3433,1006.91,FR,CO,DE,device_2188,card_2006,card,USD,2025-03-11 01:51:00,5,18,112,1,0,1,1,0,1,0,0,55,3ds_required,1
6,132,5169,604.74,FR,IT,CO,device_2941,card_2578,card,GBP,2025-04-01 21:10:00,7,15,73,1,0,1,1,0,0,1,0,65,3ds_required,1
7,2300,4305,1121.79,PL,CO,PL,device_1483,card_1797,card,GBP,2025-03-31 20:12:00,2,2,56,0,0,1,1,0,1,0,0,45,review,0
8,1730,1041,580.23,CO,RO,BR,device_1030,card_4533,card,GBP,2025-05-12 04:52:00,2,18,136,1,0,1,1,0,0,0,0,45,review,0
9,1203,7124,241.45,ES,NL,BR,device_3121,card_1464,wallet,EUR,2025-06-08 11:21:00,5,17,311,0,0,1,1,0,0,0,0,35,review,0
10,1532,2647,811.37,BR,ES,CO,device_1328,card_4003,card,EUR,2025-06-19 03:17:00,6,10,122,0,0,1,1,0,0,1,0,55,3ds_required,0
11,323,1404,1099.2,FR,BR,DE,device_526,card_3894,wallet,EUR,2025-02-18 06:03:00,9,20,216,0,0,1,1,0,1,1,0,65,3ds_required,1
12,1635,6119,659.96,BR,RO,FR,device_1016,card_1841,card,USD,2025-01-04 19:54:00,10,18,117,0,0,1,1,0,0,1,0,55,3ds_required,1
13,242,3751,105.76,ES,GB,FR,device_2106,card_1950,paypal,GBP,2025-03-30 08:48:00,4,18,67,1,0,1,1,0,0,0,0,45,review,0
14,1938,6670,289.66,FR,PL,GB,device_1735,card_3368,paypal,GBP,2025-01-10 20:40:00,2,2,206,1,0,1,1,0,0,0,0,45,review,0
15,1019,3140,289.36,RO,DE,PL,device_752,card_2282,paypal,EUR,2025-06-09 04:41:00,2,15,281,0,0,1,1,0,0,0,0,35,review,0
16,2215,242,1453.65,IT,DE,PL,device_1990,card_3944,card,USD,2025-06-14 06:49:00,1,6,194,0,1,1,1,0,1,0,0,65,3ds_required,1
17,1864,4674,637.4,BR,RO,DE,device_778,card_2431,card,EUR,2025-04-16 10:28:00,9,2,160,0,0,1,1,0,0,1,0,55,3ds_required,1
18,2060,8702,240.36,BR,FR,DE,device_281,card_4875,card,GBP,2025-06-06 21:20:00,4,13,61,0,0,1,1,0,0,0,0,35,review,0
19,336,6869,987.77,CO,BR,GB,device_1069,card_1674,wallet,GBP,2025-02-27 04:41:00,4,9,202,0,1,1,1,0,0,0,0,55,3ds_required,1
20,298,153,690.14,CO,FR,FR,device_2203,card_1747,wallet,USD,2025-01-25 02:42:00,6,3,125,1,1,1,0,0,0,1,0,70,block,1
21,2226,4957,919.46,BR,ES,BR,device_1227,card_849,card,USD,2025-01-22 00:18:00,2,18,79,1,1,1,1,0,0,0,0,65,3ds_required,1
22,1405,3336,1032.81,NL,BR,RO,device_1029,card_417,card,GBP,2025-03-19 02:37:00,5,2,1,1,0,1,1,0,1,0,1,65,3ds_required,1
23,1073,2648,1113.14,BR,PL,BR,device_40,card_917,card,GBP,2025-06-14 13:19:00,3,18,18,1,0,1,1,0,1,0,0,55,3ds_required,1
24,172,5051,550.15,ES,GB,IT,device_2794,card_2045,wallet,EUR,2025-03-06 09:14:00,9,14,317,0,0,1,1,0,0,1,0,55,3ds_required,0
25,726,6756,42.06,GB,PL,IT,device_1093,card_1305,wallet,EUR,2025-03-11 15:21:00,1,16,113,0,1,1,1,0,0,0,0,55,3ds_required,1
